"Data Import Template"
"Table:","Transport Location"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Transport Location","",""
"Column Labels:","ID","Location","Country"
"Column Name:","name","location","country"
"Mandatory:","Yes","Yes","Yes"
"Type:","Data","Data","Link"
"Info:","","","Valid Country"
"Start entering data below this line"
"","""Bengo""","Bengo","Angola"
"","""Benguela""","Benguela","Angola"
"","""Bie""","Bie","Angola"
"","""Cabinda""","Cabinda","Angola"
"","""Cassai Zambeze""","Cassai Zambeze","Angola"
"","""Cuando""","Cuando","Angola"
"","""Cuando Cubando""","Cuando Cubando","Angola"
"","""Cuanza Norte""","Cuanza Norte","Angola"
"","""Cuanza Sul""","Cuanza Sul","Angola"
"","""Cunene""","Cunene","Angola"
"","""Huambo""","Huambo","Angola"
"","""Huila""","Huila","Angola"
"","""Icolo e Bengo""","Icolo e Bengo","Angola"
"","""Lobito""","Lobito","Angola"
"","""Luanda""","Luanda","Angola"
"","""Lunda Norte""","Lunda Norte","Angola"
"","""Lunda Sul""","Lunda Sul","Angola"
"","""Malange""","Malange","Angola"
"","""Moxico""","Moxico","Angola"
"","""Namibe""","Namibe","Angola"
"","""Uige""","Uige","Angola"
"","""Zaire""","Zaire","Angola"
