"Data Import Template"
"Table:","Truck Type"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Truck Type","","",""
"Column Labels:","ID","Created On","Created By","Truck Type"
"Column Name:","name","creation","owner","truck_type"
"Mandatory:","Yes","No","No","No"
"Type:","Data","Datetime","Link","Data"
"Info:","","dd-mm-yyyy","Valid User",""
"Start entering data below this line"
"","""Australian road train""","2026-03-22 09:08:40.593656","Administrator","Australian road train"
"","""Boat haulage""","2026-03-22 09:08:29.794290","Administrator","Boat haulage"
"","""Box truck""","2026-03-22 09:08:22.072015","Administrator","Box truck"
"","""Car transporter or car carrier truck""","2026-03-22 09:09:24.046136","Administrator","Car transporter or car carrier truck"
"","""Chiller truck or reefers""","2026-03-22 09:09:42.706334","Administrator","Chiller truck or reefers"
"","""Concrete truck""","2026-03-22 09:07:53.782430","Administrator","Concrete truck"
"","""Crane trucks or mobile cranes""","2026-03-22 09:09:56.453545","Administrator","Crane trucks or mobile cranes"
"","""Fire truck""","2026-03-22 09:09:09.399418","Administrator","Fire truck"
"","""Flatbed truck""","2026-03-22 09:08:50.991724","Administrator","Flatbed truck"
"","""Furniture truck""","2026-03-22 09:10:27.030549","Administrator","Furniture truck"
"","""Highway maintenance truck""","2026-03-22 09:10:38.193997","Administrator","Highway maintenance truck"
"","""Livestock truck""","2026-03-22 09:10:47.684612","Administrator","Livestock truck"
"","""Logging truck""","2026-03-22 09:10:05.849344","Administrator","Logging truck"
"","""Off-road Truck""","2026-03-22 09:11:17.456127","Administrator","Off-road Truck"
"","""Pickup truck""","2026-03-22 09:08:03.638030","Administrator","Pickup truck"
"","""Small truck""","2026-03-22 09:08:13.215869","Administrator","Small truck"
"","""Snow plows""","2026-03-22 09:10:57.272532","Administrator","Snow plows"
"","""Tanker truck""","2026-03-22 09:10:17.600744","Administrator","Tanker truck"
"","""Tipper truck""","2026-03-22 09:07:33.047554","Administrator","Tipper truck"
"","""Tow truck""","2026-03-22 09:09:34.333120","Administrator","Tow truck"
"","""Trailer Truck""","2026-03-22 09:11:06.418926","Administrator","Trailer Truck"
